Gene,PubMedID
mp ##l,19035443
mp ##l,17314512
mp ##l,17992115
mp ##l,17975146
mp ##l,19799645
mp ##l,19118061
mp ##l,21300445
mp ##l,12036934
wee ##1,23416158
tx ##n,12543799
st ##m ##n ##1,22665054
run ##x ##2,17450523
er ##eg,25823659
er ##eg,12384558
er ##eg,25501033
er ##eg,24189220
er ##eg,16243793
er ##eg,15466193
er ##eg,22454080
er ##eg,20357817
er ##eg,26842708
er ##eg,22665054
er ##eg,22583695
er ##eg,25818589
er ##eg,22817889
cd ##9,10362803
at ##f ##3,21356389
gas ##t,24260410
gas ##t,17197349
gas ##t,25501033
nt ##5 ##e,22454080
cat,11774264
cat,24595385
cat,24840574
cat,25113440
cat,19521982
cat,25061102
cat,21460252
cat,19126397
cat,20177751
cat,23190898
cat,25207815
cat,19016067
cat,17472570
cat,25444235
cat,18949370
cat,19996561
cat,22935333
cat,24967732
cat,22487681
cat,25588203
cat,25124714
cat,26498684
cat,19040420
cat,19338054
cat,20337985
cat,24260410
cat,10867810
cat,21072599
cat,17197349
cat,21435193
cat,16410717
cat,22080950
cat,17594688
cat,19671763
cat,9806478
cat,24423917
cat,23673539
cat,25220161
cat,26424760
cat,21108607
cat,22223089
cat,10389768
cat,11813878
cat,19725989
cat,24370793
cat,11931386
cat,25501033
cat,19805117
cat,23020925
cat,25065585
cat,23536873
cat,22076652
cat,20848731
cat,25310020
cat,16243793
cat,24014427
cat,22447182
cat,25155861
cat,23028833
cat,19718013
cat,15466193
cat,23977234
cat,11245423
cat,23277422
cat,24691438
cat,23638386
cat,25848976
cat,21558391
cat,11606406
cat,19035443
cat,15856016
cat,25435429
cat,21559390
cat,19880519
cat,18444963
cat,15305193
cat,17314512
cat,22322885
cat,22927992
cat,20602913
cat,25961751
cat,23377970
cat,11112417
cat,9195562
cat,20421967
cat,23221472
cat,18066592
cat,17891747
cat,20375924
cat,24722418
cat,25174651
cat,22647378
cat,23863473
cat,12650606
cat,16964280
cat,18515281
cat,17975146
cat,15221796
